query,feature,endpoint,method,sheet,subFeature,markedCorrect,score
"List all monitors in the account","Inventory","/app/api/account_settings","GET","My Account","Account Settings",true,37
"List all monitors in the account","Inventory","/app/api/genai/module/monitorlist","GET","Zia Settings","AI Module – Monitor List",false,36
"List all monitors in the account","Inventory","/app/api/resource_profile/associated_monitors","GET","Server Monitor","Resource Profile – Associated Monitors",false,36
"List all monitors in the account","Inventory","/app/api/setting_profile/associated_monitors","GET","Server Monitor","Setting Profile – Associated Monitors",false,36
"List all monitors in the account","Inventory","/app/api/short/all/monitors","GET","Third-Party Integrations","Monitor Listing",false,36
"Show me all monitor groups","Inventory","/app/api/monitor_groups","GET","Server Monitor","Monitor Groups",true,73
"Show me all monitor groups","Inventory","/app/api/short/monitor_groups","GET","Server Monitor","Monitor Groups",false,66
"Show me all monitor groups","Inventory","/app/api/monitors/pollergroups","GET","Inventory","Poller Groups",false,59
"Show me all monitor groups","Inventory","/app/api/short/monitor_groups","GET","Inventory","Monitor Groups",false,58
"How do I import monitors in bulk?","Inventory","/app/api/monitors/import","PUT","Inventory","Monitor Import",true,49
"How do I import monitors in bulk?","Inventory","/app/api/monitors/import/continuous_import","GET","Inventory","Monitor Import",false,42
"How do I import monitors in bulk?","Inventory","/app/api/monitors/import/status","GET","Inventory","Monitor Import",false,42
"What API retrieves the license usage for the account?","Inventory","/app/api/license_usage","GET","Inventory","License Usage",true,75
"What API retrieves the license usage for the account?","Inventory","https://www.site24x7.com/app/api/license_usage","GET","Configuration Profiles","General App Bootstrap (Not Section-Specific)",false,58
"What API retrieves the license usage for the account?","Inventory","/app/api/account_settings","GET","My Account","Account Settings",false,56
"What API retrieves the license usage for the account?","Inventory","/app/api/account_settings","PUT","My Account","Account Settings",false,56
"What API retrieves the license usage for the account?","Inventory","/app/api/account_settings","GET","Inventory","Account Settings",false,53
"What API retrieves the license usage for the account?","Inventory","/app/api/account_settings","GET","User & Alert Management","Account Settings",false,49
